Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Etter's Beach,Last Mountain Lake,2020-07-21,28.35,0.099
Fort Campground Beach,Echo Lake,2020-06-25,36.52,0.099
Fort Campground Beach,Echo Lake,2020-06-26,7.72,0.099
Fort Campground Beach,Echo Lake,2020-07-30,0.74,0.099
Fort Campground Beach,Echo Lake,2020-08-18,0.32,0.099
Glen Harbour Beach,Last Mountain Lake,2020-08-17,2.81,0.099
Island View Main Beach Area,Last Mountain Lake,2020-08-17,2.95,0.099
Katepwa Beach,Katepwa Lake,2020-06-29,0.55,0.099
Katepwa Beach,Katepwa Lake,2020-07-09,1.17,0.099
Katepwa Beach,Katepwa Lake,2020-07-16,6.02,0.099
Katepwa Beach,Katepwa Lake,2020-07-23,4.14,0.099
Katepwa Beach,Katepwa Lake,2020-07-30,5.71,0.099
Katepwa Beach,Katepwa Lake,2020-08-06,2.29,0.099
Katepwa Beach,Katepwa Lake,2020-08-13,1.4,0.099
Katepwa Beach,Katepwa Lake,2020-08-20,1.49,0.099
Katepwa Beach,Katepwa Lake,2020-08-25,2.44,0.099
Katepwa Beach,Katepwa Lake,2020-09-01,11.76,0.099
Kivimaa-Moonlight Bay Public Beach,Turtle Lake,2020-07-20,0.25,0.099
Last Mountain Lake Regional Park Main Beach Area,Last Mountain Lake,2020-07-28,1.86,0.099
Lumsden Beach,Last Mountain Lake,2019-06-24,2.15,0.099
Lumsden Beach,Last Mountain Lake,2020-07-15,51.06,0.099
Lumsden Beach,Last Mountain Lake,2020-08-23,10.22,0.099
Marean Lake Beach,Marean Lake,2020-07-09,0.32,0.099
Meeting Lake Regional Park Beach,Meeting Lake,2020-08-27,0.15,0.099
Ministik Beach,Madge lake,2020-08-04,4.17,0.099
Missinipi Beach,Churchill River,2020-07-29,9.13,0.099
Mohr’s Beach,Last Mountain Lake,2020-08-17,5.25,0.099
Moose Creek Regional Park Beach,Alameda Dam,2020-07-06,11.65,0.099
Moosomin Regional Park Beach,Moosomin Lake,2020-08-04,6.41,0.099
